Тип,Название,Дочитки,СВД,ПД,Просмотры,CTR,Показы,Комменты,Подписки,Лайки,Символы в заголовке,День недели,Будни/выходные,Колво символов в тексте,
Подборка,Что посмотреть из аниме? Подборка для всех,5517,71,92,6009,9.6,49082,14,10,120,42,Чт,4,2806,
Подборка,Аниме. которые есть на Netflix (на русском),5504,55,88,6220,8.3,70027,10,11,149,43,Чт,4,3592,
Размышления,Этти. дети. приколы. Проблемы анимешника в России,5498,88,84,6513,6.2,77242,35,17,249,49,Ср,3,3048,
Размышления,Вещи. которые бы сделали современные аниме лучше,5436,85,90,6009,6.3,90229,39,7,286,48,Чт,4,3190,
Обзор,Аниме предсказавшее будущее,5388,92,82,6601,6.5,51235,17,12,118,27,Ср,3,2972,
Подборка,Трогательные аниме про любовь,5211,80,90,5792,5.9,42632,15,11,108,29,Вс,7,3040,
Подборка,Аниме. где милые девушки делают милые вещи,5187,59,89,5839,7.9,78684,12,8,242,42,Чт,4,2992,
Размышления,Аниме стало лучше,5019,101,87,5769,7.7,84655,31,12,153,17,Сб,6,2872,
Размышления,Оскар и аниме в кино: сложно. глубоко. не для детей,4926,85,76,6441,7.7,92393,9,11,173,51,Сб,6,3394,
Размышления,Что значит Камидере. Сэмпай. Мэйды в аниме,4839,102,88,5470,9.1,80955,8,34,316,42,Сб,6,2639,
Подборка,5 лучших аниме боевиков которые стоит посмотреть,4837,151,83,5800,10.2,63559,20,5,123,48,Пн,1,3365,
Размышления,Аниме овощи,4811,92,90,5372,8.2,49100,19,20,115,11,Пн,1,2715,
Обзор,Непредсказуемое аниме,4765,97,82,5833,8.3,63860,7,12,161,21,Чт,4,3095,
Подборка,У меня есть сила. но я хочу жить обычной жизнью аниме подборка,4754,102,91,5234,6.2,41912,15,3,77,62,Вт,2,2534,
Подборка,Аниме которые обязан посмотреть каждый,4742,74,95,5005,7.3,18809,12,4,52,38,Ср,3,2961,
Подборка,Аниме от грусти и уныния,4715,81,91,5209,5.9,52460,11,14,119,24,Вт,2,3047,
Подборка,Глупые аниме,4613,62,91,5063,5.8,55689,24,9,152,12,Пн,1,2746,
